,Year,Kilometers_Driven,Owner_Type,Seats,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
471,2017,129000,1,7.0,11.0,2987.0,258.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1306,2015,63050,1,5.0,11.1,2354.0,158.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3067,2015,16607,1,5.0,22.7,1598.0,118.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
483,2008,80000,2,5.0,12.1,2362.0,164.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5400,2013,100000,2,7.0,11.5,2982.0,171.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1539,2019,6773,1,7.0,14.75,2967.0,245.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3925,2016,43252,1,5.0,13.0,2143.0,204.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1589,2017,75445,1,5.0,22.7,1498.0,89.84,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4692,2013,80127,1,5.0,12.8,1968.0,167.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3249,2013,75049,2,5.0,20.36,1197.0,78.9,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1346,2016,62000,1,5.0,18.5,1197.0,85.8,0,0,0,0,0,0,0,0,1,0,0,0,1,1
5616,2015,92000,1,7.0,12.55,2982.0,168.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2448,2013,21000,2,4.0,17.54,2993.0,313.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1318,2011,45000,2,5.0,11.74,1796.0,186.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2351,2016,22000,1,5.0,20.14,1498.0,88.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3827,2015,44328,1,5.0,19.4,1198.0,86.8,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3941,2014,82329,1,5.0,18.0,1497.0,117.3,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3916,2009,32000,2,5.0,14.28,1798.0,138.03,0,1,0,0,0,0,0,0,0,0,0,0,1,1
490,2017,8500,2,5.0,18.9,1197.0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2506,2014,91586,2,7.0,11.18,2696.0,184.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
401,2010,92098,2,5.0,16.0,2400.0,215.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4682,2013,69573,2,5.0,22.32,1582.0,126.32,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2482,2014,57937,1,5.0,15.5,1198.0,86.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3256,2017,68319,1,7.0,12.55,2982.0,168.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5775,2015,8000,1,2.0,12.5,5000.0,488.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4061,2014,74500,1,5.0,21.2,1248.0,75.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2679,2017,26327,1,5.0,20.4,1197.0,81.8,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1977,2011,76000,2,7.0,14.0,2498.0,112.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4964,2015,85000,1,5.0,23.9,1582.0,126.2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
903,2011,71703,1,5.0,14.74,1991.0,181.03,0,0,0,0,0,0,1,0,0,0,0,0,1,0
683,2017,37688,1,5.0,17.01,1591.0,121.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
3841,2013,50000,1,5.0,19.3,1968.0,141.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2859,2008,86700,2,5.0,16.1,1298.0,88.2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
200,2014,76000,1,5.0,14.7,1798.0,177.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1264,2013,65000,2,7.0,11.8,2993.0,180.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3951,2014,65000,2,5.0,15.73,1968.0,174.33,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1451,2012,75000,2,7.0,15.1,2179.0,140.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5116,2013,60000,1,5.0,22.9,1248.0,74.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3702,2017,13000,1,5.0,18.9,1197.0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4191,2016,47300,1,5.0,24.3,1248.0,88.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
518,2010,50645,2,5.0,10.93,2497.0,204.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4187,2014,68400,1,5.0,12.98,2494.0,178.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1072,2017,55000,1,7.0,17.6,2179.0,153.86,0,0,0,1,0,0,0,0,0,0,1,0,0,1
923,2016,14930,1,5.0,21.4,1197.0,83.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2177,2017,21799,1,5.0,23.1,998.0,67.04,0,0,0,0,0,0,1,0,0,0,0,0,1,1
5313,2014,23500,2,5.0,17.57,1193.0,88.7,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5557,2016,60000,2,5.0,17.9,2143.0,136.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5194,2012,50000,1,5.0,17.5,1298.0,85.8,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1723,2014,75216,1,5.0,22.9,1248.0,74.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1213,2018,32496,1,5.0,13.22,2967.0,241.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2532,2016,15000,1,4.0,16.82,1998.0,189.08,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1379,2017,50000,1,5.0,17.9,2143.0,136.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5418,2013,28000,1,5.0,18.9,1197.0,82.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5820,2018,1048,1,5.0,18.9,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
5099,2013,62132,1,5.0,18.5,1197.0,82.85,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4120,2011,43000,1,5.0,20.36,1197.0,78.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2118,2016,67995,1,7.0,16.0,2179.0,140.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1418,2014,71800,1,5.0,23.4,1248.0,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
249,2014,16514,1,5.0,18.9,1197.0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4331,2007,42100,1,5.0,18.0,995.0,62.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4161,2010,62000,1,5.0,16.8,1497.0,118.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4586,2014,41210,1,5.0,18.0,1198.0,86.7,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3314,2014,49000,1,5.0,17.4,1497.0,117.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1680,2015,1001,1,5.0,25.83,1498.0,99.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3936,2014,18500,1,5.0,23.1,998.0,67.04,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28,2018,37430,1,5.0,17.5,1199.0,88.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
5082,2015,77000,1,8.0,12.99,2494.0,100.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
4562,2013,79000,1,5.0,23.5,1396.0,88.7,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3309,2005,90000,2,5.0,15.3,1341.0,61.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4628,2016,30965,1,5.0,21.4,1197.0,83.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3779,2015,28004,1,5.0,17.8,1497.0,117.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2928,2014,48500,2,5.0,26.6,998.0,58.16,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5678,2017,21954,1,5.0,25.17,799.0,53.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1147,2014,66000,1,5.0,26.0,1498.0,98.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5255,2015,65000,1,5.0,22.7,1582.0,126.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2174,2016,65263,1,7.0,17.5,1373.0,80.46,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1576,2014,49800,1,5.0,23.1,998.0,67.04,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2423,2019,14233,1,7.0,17.6,2179.0,153.86,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1769,2015,36000,1,5.0,20.0,1399.0,68.05,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2303,2012,17000,2,4.0,16.82,1998.0,189.08,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4015,2009,85000,2,5.0,19.7,796.0,46.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2505,2015,120000,1,10.0,14.8,2499.0,80.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
227,2011,67000,2,7.0,11.72,2199.0,194.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
67,2019,15369,1,5.0,0.0,1950.0,194.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
151,2012,65634,1,5.0,22.07,1199.0,73.9,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2135,2011,38000,1,5.0,10.8,1984.0,132.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3191,2016,32298,1,4.0,20.7,1496.0,113.98,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3909,2014,69000,1,5.0,17.05,1995.0,184.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2897,2013,34900,1,5.0,22.0,1197.0,81.8,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2785,2015,40082,1,5.0,19.3,1248.0,73.9,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5046,2016,29832,1,5.0,21.1,814.0,55.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2879,2017,37000,1,5.0,17.1,1956.0,170.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4656,2008,79000,2,5.0,11.7,2354.0,177.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2198,2015,52950,1,5.0,14.0,796.0,35.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
811,2016,215000,1,7.0,14.02,2179.0,118.3,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4511,2015,67000,1,5.0,27.3,1498.0,98.6,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2669,2011,45000,1,7.0,15.1,1196.0,73.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3484,2013,71000,1,5.0,22.7,1582.0,126.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1263,2015,78000,1,5.0,16.1,1298.0,88.2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
285,2015,77771,1,5.0,19.27,2143.0,170.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5041,2017,65850,1,5.0,25.1,1498.0,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1
941,2004,47300,2,5.0,14.4,1599.0,94.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2539,2012,23598,1,5.0,23.2,1248.0,73.94,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2431,2016,25500,1,5.0,21.5,1498.0,108.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2399,2017,47000,2,5.0,17.57,1193.0,88.7,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1554,2017,1000,1,5.0,13.49,2179.0,138.03,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4777,2015,46650,1,5.0,19.4,1198.0,86.8,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1291,2014,47674,1,5.0,19.1,1197.0,85.8,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1126,2018,50234,1,5.0,18.9,1197.0,81.86,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2331,2008,114750,2,5.0,17.0,1497.0,118.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
4744,2008,107000,2,5.0,17.8,1248.0,75.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2021,2011,65000,2,5.0,18.6,1199.0,79.4,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3510,2012,60000,2,5.0,15.2,1968.0,140.8,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3460,2015,18000,1,4.0,33.44,796.0,40.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4466,2016,59998,1,5.0,20.14,1498.0,88.8,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1256,2013,90200,1,5.0,20.0,1399.0,68.05,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4405,2007,145000,1,8.0,12.8,2494.0,102.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
5639,2011,39000,1,5.0,20.36,1197.0,78.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1335,2013,62700,2,5.0,20.51,998.0,67.04,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2651,2015,81310,1,5.0,21.19,1396.0,88.76,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4936,2016,31826,1,5.0,22.7,1498.0,89.84,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4731,2015,36100,1,5.0,20.4,1197.0,81.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,2014,35487,1,5.0,18.5,1197.0,82.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
5273,2015,50000,2,5.0,24.0,1120.0,70.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3557,2016,120000,1,5.0,23.2,1248.0,73.94,1,0,0,0,0,0,0,0,0,0,1,0,0,1
124,2007,47700,2,5.0,10.8,2354.0,152.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
173,2014,40000,1,5.0,17.68,1968.0,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
119,2011,43874,1,5.0,18.9,998.0,67.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3586,2015,42366,1,5.0,17.8,1497.0,117.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3626,2009,53000,1,5.0,8.7,2987.0,224.34,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2638,2016,6000,1,5.0,17.19,1197.0,81.86,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4512,2010,65329,1,4.0,7.94,4395.0,450.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3122,2010,130000,2,5.0,19.3,1248.0,73.9,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3886,2014,61000,1,5.0,23.4,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4622,2014,35165,2,5.0,23.8,1998.0,112.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2754,2016,54199,1,5.0,23.0,1248.0,88.8,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3397,2011,62100,1,7.0,11.5,2982.0,171.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5582,2012,89000,1,5.0,22.32,1582.0,126.32,0,0,0,0,0,0,0,0,0,1,1,0,0,1
479,2004,29000,1,5.0,17.3,993.0,60.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
31,2012,87615,1,5.0,14.53,1798.0,138.1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1911,2006,87000,2,5.0,15.3,1596.0,101.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5604,2016,45794,1,7.0,13.01,2199.0,194.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3185,2016,40810,1,5.0,28.09,1248.0,88.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3949,2014,68000,1,5.0,13.0,2987.0,261.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4216,2007,70000,1,5.0,16.9,1497.0,100.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
978,2019,11571,1,8.0,16.8,796.0,34.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4064,2009,88000,1,5.0,16.55,1968.0,140.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
875,2013,70181,1,5.0,17.68,1968.0,174.33,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4915,2014,44000,1,5.0,16.47,1198.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4837,2013,71000,1,5.0,18.88,1995.0,184.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
487,2010,86000,2,5.0,17.8,1248.0,75.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4616,2015,41000,1,5.0,16.9,1197.0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3806,2014,21000,1,5.0,18.9,1197.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3374,2016,26981,1,5.0,16.47,1198.0,73.9,0,0,1,0,0,0,0,0,0,0,0,0,1,1
5596,2012,118683,2,5.0,21.0,1461.0,64.1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1613,2015,52191,1,5.0,17.1,1591.0,121.3,0,0,1,0,0,0,0,0,0,0,0,0,1,1
5081,2016,34000,1,5.0,20.64,1498.0,108.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4394,2009,40000,2,5.0,12.05,1995.0,154.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3991,2018,10000,1,5.0,18.9,1197.0,81.86,0,0,0,1,0,0,0,0,0,0,0,0,1,1
5215,2012,115000,3,5.0,15.06,1995.0,177.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3924,2014,55000,1,5.0,22.7,1498.0,89.84,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3015,2012,92000,2,5.0,26.2,998.0,58.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3378,2014,77500,1,5.0,20.45,1461.0,83.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4284,2012,38092,1,7.0,20.77,1248.0,88.8,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2558,2016,11554,1,5.0,19.67,1582.0,126.2,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2569,2008,178280,1,8.0,12.8,2494.0,102.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
305,2015,88428,1,7.0,16.0,2179.0,140.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1426,2011,116000,2,5.0,21.43,1364.0,138.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
542,2009,48000,1,5.0,17.0,1896.0,105.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1302,2016,24337,1,5.0,26.0,1498.0,98.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3276,2015,54000,1,5.0,14.3,1598.0,103.52,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5375,2014,74624,1,5.0,20.0,1399.0,68.05,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1694,2018,55594,1,7.0,18.49,1493.0,100.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5684,2015,120000,1,5.0,21.21,1498.0,103.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4956,2009,34000,1,5.0,19.3,1248.0,73.9,0,0,0,0,0,0,0,1,0,0,1,0,0,1
446,2014,31465,1,5.0,22.7,1498.0,89.84,0,0,0,1,0,0,0,0,0,0,1,0,0,1
3826,2017,12538,1,5.0,18.0,1497.0,117.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5506,2014,52951,1,5.0,20.14,1498.0,88.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1237,2018,22974,1,5.0,18.0,1497.0,117.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
245,2018,51346,1,5.0,16.38,1995.0,183.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1254,2014,14262,1,2.0,9.9,1984.0,207.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2717,2015,69002,1,5.0,15.97,2993.0,258.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3208,2013,62000,1,5.0,26.6,998.0,58.16,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5861,2013,40000,2,4.0,17.85,2967.0,300.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4312,2011,85000,2,5.0,20.0,1968.0,108.5,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1560,2009,89000,1,7.0,12.5,1991.0,147.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0
